"review_id","star_rating","helpful_votes","total_votes","vine","verified_purchase"
"RQK03IPUDYLL4",2,380,450,"N","N"
"R1VACDE6LEL1DS",5,666,685,"N","Y"
"R3PDQU6VN8YW8M",1,24,39,"N","N"
"R24UBGILC84XP3",2,15,20,"N","N"
"R1BT8EQUJ1K72Q",5,214,228,"N","Y"
"R10RWW5EQFSEH0",2,21,28,"N","N"
"R36SDIJ1I5WZ5C",3,133,137,"N","Y"
"R33SPS2Q1WMJHB",1,24,24,"N","Y"
"R1J1NAZKNU03Q5",5,26,37,"N","N"
"R3IV80I1G923JR",5,19,20,"N","Y"
"R18UT1MHHP1MFG",4,25,34,"N","N"
"R1SA4JIVF8JKXD",5,29,31,"N","N"
"R1Y7HB2VXJCSDO",1,29,44,"N","N"
"R37I96PA6O7IY7",2,25,25,"N","Y"
"R1M8UTGF2HDRXU",5,24,24,"N","Y"
"R3B9YDR8E8PLCV",5,24,28,"N","Y"
"R6LXT3H8UB2TK",4,26,26,"N","Y"
"R191ZF4K8BNC0M",5,53,63,"N","N"
"RLTWPLM34S09B",1,30,31,"N","N"
"R146XF5UYB3JQP",5,32,34,"N","Y"
"ROTAHY62FRMHG",5,39,42,"N","Y"
"R33PW59PPEP86K",4,23,26,"N","Y"
"R3AWWLFC01FF95",5,33,36,"N","Y"
"R1WTWYZFZZ2I8G",5,65,71,"N","Y"
"R2KI08TZM48UUR",5,29,32,"N","Y"
"R2TZDD1XIVIJ34",4,19,23,"N","Y"
"RXTXIE8MODRG2",5,21,22,"N","N"
"R2MVINZCZSF0CO",2,49,51,"N","N"
"R29UOE5SJKE6UH",5,27,32,"N","Y"
"R4XKF6A5JERCO",1,45,45,"N","N"
"R2BTP632ECUT3W",3,12,21,"N","Y"
"R2240WD27CRHWQ",5,42,48,"N","Y"
"RA38Q0I9SOJ11",5,18,23,"N","Y"
"RY5A7KLHPJYCT",2,52,58,"N","Y"
"R2FL35BYMPVJN8",5,22,25,"N","N"
"R35HKHRYMCXXN2",5,21,21,"N","Y"
"R9G75ARX8XUPZ",5,215,219,"N","Y"
"R3HVX76JOSCGUO",5,21,22,"N","Y"
"R36DRVDFG5XNOL",5,24,30,"N","Y"
"R1E7M5AQPLB4J4",5,99,113,"N","Y"
"RUO4U3HHMUMW8",5,22,23,"N","N"
"R1V2DJVSUYH3OC",5,229,232,"N","Y"
"R248M5HEB5A0M7",5,25,27,"N","Y"
"R1NJLBVVDXD1U9",5,33,35,"N","Y"
"R331NZ8M8S0L5V",5,105,114,"N","N"
"R11L48JRDJR0S0",1,45,46,"N","Y"
"RPGAZ03E5EEMA",5,22,23,"N","Y"
"R2GH43VKML5L9Q",5,51,57,"N","Y"
"RQB8L38GH1GUL",5,43,45,"N","Y"
"R1C1FLIUH1RU2Y",2,19,23,"N","N"
"R3O7R2NVIJQOMQ",2,15,20,"N","Y"
"R2S3N8SIL1X265",3,249,339,"N","N"
"R3RKFTSUIV4CKZ",5,140,149,"N","N"
"R365RBCHBSBTDF",5,13,22,"N","Y"
"R1GAPWTAE39U8X",1,18,21,"N","Y"
"R3RI638DV7A7K6",5,20,23,"N","Y"
"R239TFOKNXZVZH",5,28,32,"N","Y"
"R25LNTE90NPLF6",5,42,42,"N","Y"
"RGPW9X4KTH5BY",5,18,25,"N","N"
"R2M61LDPSS9X2",5,65,66,"N","Y"
"R2AYV1BPWJEE8F",4,17,20,"N","Y"
"R2X4P0AUA250SR",1,23,26,"N","Y"
"R3TWXY1CDGB0SF",2,23,27,"N","Y"
"R1ZNEQ9EVZVEGK",4,26,28,"N","N"
"R2F5EUUGJVYZ3T",5,27,28,"N","Y"
"R3OB5OKE6D1F8S",4,18,20,"N","Y"
"RWVOHKAPPTHU7",5,67,72,"N","Y"
"RMMODM2ZYCZQK",1,57,67,"N","Y"
"R2PDFNT3Z0V0E3",2,22,23,"N","Y"
"R228UKDA0ZP2EZ",1,23,26,"N","Y"
"R2JKE171ZCQB0B",5,28,29,"N","N"
"R1TO3ZDU6SYYA0",5,19,21,"N","N"
"R16FN2TIOM92BL",3,37,52,"N","N"
"R1KGO4PB7MLRWO",1,62,62,"N","Y"
"RW6VHD6C7V05E",5,30,31,"N","N"
"RN7R1BJ3QZCXY",5,55,56,"N","Y"
"R1PQWI8LXLMBE7",5,43,46,"N","Y"
"R1I32MV6J1M71P",5,59,59,"N","Y"
"R2XOALQRDSCL1W",5,27,27,"N","Y"
"R31VE3AVW09ZU",4,31,33,"N","Y"
"R3A3LS4PI26SNO",1,29,32,"N","Y"
"R3DXNJKAKQYB3",5,43,50,"N","N"
"RVX1ZYXE7FY0D",1,48,52,"N","Y"
"R1QBWUEXWP4TVG",3,47,56,"N","Y"
"R1P8A8Z9WNC8LD",1,31,44,"N","Y"
"R11O4EBWVRF8ND",5,44,46,"N","Y"
"R1A9B5DE3FSHO3",5,18,21,"N","Y"
"R1WEMIE9Y95VQL",1,85,100,"N","Y"
"R2VEDB3RBUVW4L",2,44,56,"N","Y"
"R19DDTFYJW9A2S",5,19,23,"N","Y"
"RZIPI3RQYYPZ0",3,23,27,"N","N"
"R1XIA2QLW0P8SH",1,16,23,"N","N"
"RLRWY78S8DOP3",4,74,101,"N","N"
"R2RJUL0UVRLZ43",5,19,21,"N","Y"
"R1B3H9HNTD54DG",1,51,58,"N","N"
"R2SN96B5VO3O7X",5,18,24,"N","N"
"R3TRKQNZ2CM0X7",5,85,95,"N","Y"
"RJV6BMVGQF6FX",5,49,49,"N","Y"
"R1G97E3SK8ZSCV",4,23,25,"N","Y"
"R1DNMBEHITVYKN",5,25,25,"N","Y"
"R15MXW9CQ90CRR",1,30,39,"N","N"
"R1HZNVFZUBHYV",1,40,58,"N","Y"
"R5ONUNBLO8C95",5,53,59,"N","N"
"R1KYA1EM7BRUZ0",5,55,55,"N","Y"
"R1TZAITWH0MVVI",5,22,22,"N","Y"
"R10MRQPQ61SILD",5,34,36,"N","Y"
"R320GKLT7TKSHM",5,20,26,"N","Y"
"R383M0GUETQL8",5,25,29,"N","N"
"RD8WLPXQBLMWF",5,20,23,"N","Y"
"R3T01W74MUDHTG",4,22,23,"N","Y"
"R1X3YLRFPG1M3C",3,12,24,"N","N"
"R4AWX7YEXN31H",2,48,57,"N","N"
"R1T4G923RQ6MPZ",5,38,40,"N","Y"
"R2N8K8UFGTEKWA",5,226,235,"N","Y"
"R5F08901EU0F4",5,21,23,"N","Y"
"R1O9M4T3419PN",5,14,20,"N","N"
"R1VZ65PBR2AXMQ",5,149,156,"N","Y"
"R1YX83O4D58ATO",5,33,33,"N","Y"
"R3JGK4P6KSC5RA",5,60,68,"N","Y"
"R1ZBZ99ZQ51QPX",5,20,21,"N","Y"
"R34LEKS6NHNG9Y",5,21,21,"N","Y"
"R2FXSRTJXA5X5Q",3,26,27,"N","Y"
"R1NU7YG4A9FXV7",5,38,41,"N","Y"
"R3NI60KKWOKRLT",1,38,40,"N","Y"
"R2Q5ZJGHDLP8JC",5,21,21,"N","Y"
"RLJ4A5S28AVYX",4,42,48,"N","Y"
"R3MKO875WGIEBJ",5,34,37,"Y","N"
"R32H0VB1GZXEFH",5,19,22,"N","Y"
"RDEILA5SUXAPE",2,23,30,"N","Y"
"RZAH0I07I8I2H",5,21,26,"N","N"
"R15R4QCVYP9DTM",5,26,29,"N","Y"
"R2E28MNC9T5ZAC",5,27,27,"N","Y"
"R3M2BRSONMJWBR",4,18,23,"N","Y"
"R1OZG3DKPYXVTV",5,18,21,"N","N"
"R1C8JCZLJDQLFU",5,38,43,"N","N"
"R1ILHMFDWA1XCB",1,62,64,"N","Y"
"R1HLI6X7OETRBF",1,19,28,"N","N"
"R2SREURZN81EOD",1,37,43,"N","Y"
"RZL8MOACKXZMJ",2,33,38,"N","Y"
"R1UQMBN2XCLAUY",5,100,109,"N","Y"
"R3BOT3RDLOPP80",5,53,57,"N","Y"
"R1N5SK9MVI87N3",2,28,32,"N","Y"
"R1M5UM5R0O1Z4X",1,38,46,"N","Y"
"RYG8HR091B1BK",5,40,44,"N","Y"
"R2FEERSWKRPQN3",5,86,92,"N","Y"
"ROT4N7HWL5YU0",4,19,20,"N","Y"
"R3K0E7R1TGTD2Q",4,165,167,"N","N"
"R3ETPQTOM2KJLG",2,62,68,"N","Y"
"R2IZ4GX5AECYQ6",1,33,44,"N","Y"
"R2CFENFVSB7BZP",5,57,62,"N","Y"
"R35UM57HGLE41Q",1,45,54,"N","Y"
"R2KUNTYKDEQQQW",5,22,22,"N","Y"
"RRR5S5CRCFBYY",1,26,29,"N","Y"
"R21779WBM8XELX",1,45,49,"N","N"
"R2E4WZG92W3GNC",5,27,28,"N","Y"
"R26JM3KCI6XWR",1,114,126,"N","N"
"R3OPNTK61FQ7MP",5,32,37,"Y","N"
"R20YC7P6FV5O9M",5,179,183,"N","Y"
"R2WBZWIFCZ301Y",1,25,36,"N","N"
"RIDZW1NT9G50Y",5,23,25,"N","Y"
"RYB0V38STH6X2",5,17,22,"N","N"
"R30N196ZZY5B2L",1,27,30,"N","Y"
"R1XW52GV0S4G6M",5,42,43,"N","Y"
"R1PMQS6HX5K96C",5,27,29,"N","Y"
"R1EVO8N8105E5L",2,23,25,"N","Y"
"R1R0CG5LWLJ5GM",5,48,51,"N","Y"
"R2BV2TYM1JHUOH",1,62,62,"N","N"
"R1QYD03H26PWSA",5,21,25,"N","Y"
"R31PQABSVGFG7J",2,23,25,"N","N"
"R20SKR20RY8Q04",5,40,41,"N","Y"
"R2RSXIWJJZ4BJX",5,22,25,"N","Y"
"R1CYXGL9I50PPG",5,51,56,"N","Y"
"R2A0P9FJTILJ29",5,44,45,"N","Y"
"R20SLIRSXBW5G",4,31,34,"N","Y"
"RIU4AODDSB6VP",5,34,34,"N","Y"
"R389DLUXJD4IGI",5,16,21,"N","Y"
"R31MENTDVZGU6",1,56,63,"N","Y"
"R3T7D2XIWI3K5Q",1,44,52,"N","N"
"R39N8MSX9S2S90",2,27,30,"N","Y"
"R11JKU64U6E7PL",3,35,37,"N","Y"
"R1TEZVXGJHVRL8",1,18,22,"N","Y"
"R3D580ZSI4U1YT",3,19,22,"N","Y"
"R22YKHBZ9T8GMZ",2,20,24,"N","N"
"R1URT0ZYL47YSB",1,48,48,"N","Y"
"R3I9O2EV83YQKD",5,32,33,"N","Y"
"R7QJM2DRJXWGR",4,52,57,"N","Y"
"R38DVDF2T29SD4",5,33,34,"N","Y"
"R3NOX1IWI1044N",5,53,65,"N","N"
"R38NUKPM3BQQON",3,45,45,"N","Y"
"R20VQU8SZKXEHQ",5,22,23,"N","Y"
"R1TS0JXVH4OXIQ",2,11,21,"N","Y"
"R36ZI32HKGI4VE",4,26,28,"N","Y"
"R3PJ0JYTDB52R4",1,42,55,"N","Y"
"RTYH0G5S3LK7A",5,44,44,"N","Y"
"R20ZT2P1ZKYB39",4,27,33,"N","Y"
"R1XAFXQ4C68BSW",4,23,23,"N","Y"
"R2VP9RNIYPK02T",1,16,20,"N","Y"
"R1NKBK8CVWNKK9",5,54,54,"N","Y"
"RV0A5O6C33FLA",1,19,23,"N","Y"
"R9L2OPGV6DRC4",5,25,27,"N","N"
